pdg,px,py,pz,vx,vy,vz
-211,0.137589,-0.0719178,1.1169,62.922,-24.8761,1028.98
-211,0.137589,-0.0719178,1.1169,62.922,-24.8761,1028.98
211,-0.0293477,-0.0250177,0.508714,-7.0421,-6.12415,148.684
211,-0.0293477,-0.0250177,0.508714,-7.0421,-6.12415,148.684
211,-0.0577828,-0.0232361,1.24273,6.1672,2.21034,177.915
211,-0.0577828,-0.0232361,1.24273,6.1672,2.21034,177.915
211,-0.0663176,-0.132495,3.02309,-23.9504,-47.8546,997.128
211,-0.27084,0.114218,2.55719,-9.43084,4.17948,90.2483
211,-0.00457068,-0.0561968,1.62665,-0.828852,-19.9639,933.857
211,-0.0111001,-0.00319328,-0.286521,-1.69276,3.28614,615.318
211,-0.00512689,-0.00440657,0.575637,-17.6754,-22.5974,2848.1
211,0.0122853,-0.0143569,0.919779,9.33058,-11.3127,937.861
211,0.0122853,-0.0143569,0.919779,9.33058,-11.3127,937.861
211,0.0647836,0.0190825,1.71883,32.7071,3.83931,407.155
211,0.0144824,-0.0433536,1.80564,8.32054,-21.0518,1134.11
211,0.0144824,-0.0433536,1.80564,8.32054,-21.0518,1134.11
211,0.0515399,-0.0315435,0.397638,54.6308,18.1691,4561.62
211,0.00558638,0.0114013,1.32347,13.4916,20.3579,3414.55
211,0.00558638,0.0114013,1.32347,13.4916,20.3579,3414.55
211,0.00558638,0.0114013,1.32347,13.4916,20.3579,3414.55
-211,0.143385,0.276935,0.665183,15.1033,32.9522,87.3228
211,0.0496637,0.0616662,1.80706,2.92889,4.06991,423.808
211,-0.0786209,0.103323,0.291899,-2.06512,55.4892,4920.29
211,-0.0786209,0.103323,0.291899,-2.06512,55.4892,4920.29
211,0.00872397,-0.010979,0.969737,8.71055,-8.52756,807.237
211,-0.000300127,-0.00206767,0.222697,-19.6371,-30.0875,3344.44
-211,0.0606358,-0.161044,0.364665,41.273,-113.392,273.298
211,0.0511176,-0.0399217,0.225696,11.9592,-9.13857,41.845
-211,-0.025957,0.0310457,0.245766,74.6462,-38.9045,3941.67
-211,-0.025957,0.0310457,0.245766,74.6462,-38.9045,3941.67
211,-0.041092,0.0265385,0.153157,-23.7169,-83.8949,4705
211,-0.041092,0.0265385,0.153157,-23.7169,-83.8949,4705
211,-0.0292749,-0.0157067,3.7533,-20.462,-8.47931,2343.7
211,1.6919e-05,-0.0140067,0.924282,25.386,-34.6295,4826.98
211,0.180805,0.301871,0.931879,-38.558,-21.1235,3418.68
211,0.0418674,-0.0458036,2.13089,37.404,-39.0593,1749.76
211,0.0418674,-0.0458036,2.13089,37.404,-39.0593,1749.76
211,0.00231759,-0.000657542,0.314932,23.0001,61.5825,4478.27
211,0.00231759,-0.000657542,0.314932,23.0001,61.5825,4478.27
211,0.0839819,-0.0603494,3.17048,56.0651,-36.4604,1968.31
211,-0.00836232,0.010726,1.78406,-27.8143,35.8074,4816.79
211,-0.00836232,0.010726,1.78406,-27.8143,35.8074,4816.79
211,-0.0302667,0.00871889,3.28884,-37.1065,10.4439,3281.06
211,-0.0313979,-0.089572,2.40176,-21.427,-62.6038,1561.18
211,-0.0313979,-0.089572,2.40176,-21.427,-62.6038,1561.18
211,-0.0313979,-0.089572,2.40176,-21.427,-62.6038,1561.18
211,-0.0574087,-0.116827,1.71006,-1.51766,-2.89571,46.5872
211,-0.0574087,-0.116827,1.71006,-1.51766,-2.89571,46.5872
211,-0.0574087,-0.116827,1.71006,-1.51766,-2.89571,46.5872
211,0.0129477,-0.0251682,1.23743,38.4131,-26.5416,1513.39
211,0.0129477,-0.0251682,1.23743,38.4131,-26.5416,1513.39
211,0.0129477,-0.0251682,1.23743,38.4131,-26.5416,1513.39
211,-0.0194808,-0.0361722,2.12828,-0.313176,-1.39046,373.109
211,-0.00480364,-0.0142798,0.463295,-10.3286,-46.6089,1842.4
211,-0.000279098,0.00203636,0.926813,-24.4421,2.15553,4498.33
211,0.0580975,0.0701825,0.658098,16.9396,20.6158,398.544
211,0.0580975,0.0701825,0.658098,16.9396,20.6158,398.544
211,-0.0092141,-0.0309896,2.39456,-2.4867,-37.8475,2806.02
211,0.00455276,0.000123221,0.280197,21.7892,11.463,792.952
211,-0.0145183,0.010752,1.4564,-3.7176,4.0603,760.239
211,-0.0145183,0.010752,1.4564,-3.7176,4.0603,760.239
211,0.0208272,0.045636,0.756042,29.7497,69.5966,1278.93
211,0.0208272,0.045636,0.756042,29.7497,69.5966,1278.93
211,-0.00118227,-0.0101132,0.636327,4.00058,-23.9237,525.273
211,-0.00867607,-0.000138212,0.858659,-29.9,3.37901,1487.5
211,-0.00588645,0.0552103,1.42926,-1.90993,37.5034,1286.65
211,-0.00588645,0.0552103,1.42926,-1.90993,37.5034,1286.65
211,-0.0173177,-0.0103639,0.835295,-41.5491,-28.3257,1985.28
211,-0.0173177,-0.0103639,0.835295,-41.5491,-28.3257,1985.28
211,-0.0173177,-0.0103639,0.835295,-41.5491,-28.3257,1985.28
211,0.0675599,0.0625635,0.745371,29.1021,-53.0042,2308.83
211,0.0675599,0.0625635,0.745371,29.1021,-53.0042,2308.83
211,-0.130348,0.075643,0.436731,-26.0251,16.2781,148.435
211,0.0484793,-0.00568455,0.150655,54.3804,9.01844,174.91
211,0.0966988,-0.158482,2.7086,24.8115,-35.8712,639.037
211,-0.0161986,0.0960699,2.58701,-5.70549,53.6422,1237.56
211,0.00692027,0.0112293,0.462192,56.4598,3.88036,4155.91
211,0.00692027,0.0112293,0.462192,56.4598,3.88036,4155.91
211,-0.00297843,-0.0210867,2.41,0.669677,-4.71197,1056.2
-211,0.346759,0.249642,1.18797,38.7721,28.6409,159.662
211,-0.0564368,0.000401694,1.90932,-10.7887,0.147848,608.979
211,0.00251749,0.00129953,0.489352,2.77565,15.4809,1540.5
211,-0.0588672,0.0209345,1.47826,-7.18548,2.32022,129.597
211,-0.0588672,0.0209345,1.47826,-7.18548,2.32022,129.597
211,-0.00924932,0.0104783,0.480408,-4.55254,4.47977,110.901
211,-0.00924932,0.0104783,0.480408,-4.55254,4.47977,110.901
211,-0.00924932,0.0104783,0.480408,-4.55254,4.47977,110.901
211,0.038336,0.0130068,0.307059,-75.2278,35.9823,1334.22
211,-0.00822785,-0.000778258,3.28735,-12.8531,2.33471,2196.29
211,-0.00822785,-0.000778258,3.28735,-12.8531,2.33471,2196.29
