m_B,deltaE,nFlux_pi0,nFlux_eta
1.40375,420,28,0
1.40375,430,30,4
1.40375,440,34,7
1.40375,450,25,2
1.40375,460,37,8
1.40375,470,29,0
1.40375,480,48,1
1.40375,490,31,4
1.40375,500,24,2
1.40375,510,29,8
1.40375,520,27,6
1.40375,530,35,10
1.40375,540,31,5
1.40375,550,27,3
1.40375,560,24,4
1.40375,570,32,1
1.40375,580,43,13
1.40375,590,32,2
1.40375,600,21,2
1.40375,610,19,6
1.40375,620,10,5
1.40375,630,21,2
1.40375,640,21,5
1.40375,650,18,1
1.40375,660,17,3
1.40375,670,23,3
1.40375,680,23,2
1.40375,690,16,5
1.40375,700,9,8
1.40375,710,20,6
1.40375,720,10,0
1.40375,730,10,8
1.40375,740,18,5
1.40375,750,18,6
1.40375,760,14,3
1.40375,770,11,6
1.40375,780,19,2
1.40375,790,20,2
1.40375,800,12,3
1.40375,810,8,14
1.40375,820,4,8
1.40375,830,12,3
1.40375,840,19,8
1.40375,850,12,7
1.40375,860,19,5
1.40375,870,19,5
1.40375,880,26,5
1.40375,890,44,11
1.40375,900,11,14
1.40375,910,8,6
1.40375,920,7,7
1.40375,930,6,2
1.40375,940,6,6
1.40375,950,5,9
1.40375,960,5,6
1.40375,970,4,9
1.40375,980,2,10
1.40375,990,4,10
1.49575,0,0,0
1.49575,10,0,0
1.49575,20,0,0
1.49575,30,0,0
1.49575,40,0,0
1.49575,50,0,0
1.49575,60,0,0
1.49575,70,22,0
1.49575,80,35,0
1.49575,90,40,0
1.49575,100,31,0
1.49575,110,26,0
1.49575,120,21,0
1.49575,130,28,0
1.49575,140,29,0
1.49575,150,45,0
1.49575,160,34,0
1.49575,170,31,0
1.49575,180,34,0
1.49575,190,49,0
1.49575,200,30,0
1.49575,210,36,0
1.49575,220,28,0
1.49575,230,51,0
1.49575,240,17,0
1.49575,250,36,0
1.49575,260,34,0
1.49575,270,42,0
1.49575,280,35,1
1.49575,290,33,7
1.49575,300,43,7
1.49575,310,29,6
1.49575,320,48,4
1.49575,330,44,4
1.49575,340,41,2
1.49575,350,34,5
1.49575,360,33,2
1.49575,370,29,10
1.49575,380,22,3
1.49575,390,44,6
1.49575,400,31,0
1.49575,410,9,4
1.49575,420,32,0
1.49575,430,26,4
1.49575,440,36,10
1.49575,450,25,5
1.49575,460,38,9
1.49575,470,20,0
1.49575,480,36,1
1.49575,490,34,6
1.49575,500,21,3
1.49575,510,22,9
1.49575,520,36,13
1.49575,530,25,12
1.49575,540,29,4
1.49575,550,24,3
1.49575,560,30,6
1.49575,570,37,2
1.49575,580,39,10
1.49575,590,32,4
1.49575,600,19,2
1.49575,610,16,4
1.49575,620,12,3
1.49575,630,20,10
1.49575,640,18,7
1.49575,650,16,2
1.49575,660,22,1
1.49575,670,20,5
1.49575,680,16,3
1.49575,690,17,9
1.49575,700,17,6
1.49575,710,14,9
1.49575,720,7,2
1.49575,730,14,10
1.49575,740,14,8
1.49575,750,16,4
1.49575,760,14,3
1.49575,770,14,5
1.49575,780,18,8
1.49575,790,13,3
1.49575,800,14,5
1.49575,810,13,7
1.49575,820,8,2
1.49575,830,10,5
1.49575,840,11,4
1.49575,850,16,18
1.49575,860,17,3
1.49575,870,21,5
1.49575,880,20,3
1.49575,890,50,12
1.49575,900,13,13
1.49575,910,9,11
1.49575,920,9,6
