m_B,deltaE,nFlux
4.4609,600,61102
4.4609,610,39208
4.4609,620,62433
4.4609,630,64206
4.4609,640,50278
4.4609,650,52891
4.4609,660,30199
4.4609,670,47471
4.4609,680,64756
4.4609,690,39927
4.4609,700,32676
4.4609,710,80171
4.4609,720,48093
4.4609,730,47059
4.4609,740,16358
4.4609,750,102465
4.4609,760,205037
4.4609,770,74254
4.4609,780,74718
4.4609,790,51048
4.4609,800,45710
4.4609,810,58730
4.4609,820,60472
4.4609,830,43868
4.4609,840,51699
4.4609,850,8289
4.4609,860,41762
4.4609,870,49785
4.4609,880,36095
4.4609,890,41566
4.4609,900,27780
4.4609,910,35716
4.4609,920,22827
4.4609,930,59841
4.4609,940,43688
4.4609,950,25372
4.4609,960,23301
4.4609,970,29022
4.4609,980,35818
4.4609,990,63988
5.14868,0,0
5.14868,10,2
5.14868,20,16
5.14868,30,19
5.14868,40,64
5.14868,50,78
5.14868,60,94
5.14868,70,124
5.14868,80,260
5.14868,90,357
5.14868,100,522
5.14868,110,818
5.14868,120,1338
5.14868,130,1171
5.14868,140,1201
5.14868,150,1641
5.14868,160,1501
5.14868,170,2640
5.14868,180,2307
5.14868,190,2651
5.14868,200,3617
5.14868,210,5244
5.14868,220,7504
5.14868,230,5125
5.14868,240,4517
5.14868,250,11267
5.14868,260,10217
5.14868,270,10449
5.14868,280,18795
5.14868,290,21876
5.14868,300,27365
5.14868,310,24934
5.14868,320,26390
5.14868,330,28954
5.14868,340,33019
5.14868,350,36059
5.14868,360,34749
5.14868,370,37870
5.14868,380,36598
5.14868,390,40337
5.14868,400,49334
5.14868,410,61490
5.14868,420,68688
5.14868,430,57945
5.14868,440,52687
5.14868,450,81672
5.14868,460,94218
5.14868,470,59101
5.14868,480,26341
5.14868,490,12628
5.14868,500,31750
5.14868,510,51312
5.14868,520,25710
5.14868,530,24364
5.14868,540,22023
5.14868,550,48570
5.14868,560,98902
5.14868,570,55461
5.14868,580,49844
5.14868,590,56706
5.14868,600,61496
5.14868,610,38801
5.14868,620,64566
5.14868,630,60521
5.14868,640,50938
5.14868,650,49999
5.14868,660,33859
5.14868,670,48256
5.14868,680,69789
5.14868,690,36245
5.14868,700,31516
5.14868,710,84561
5.14868,720,46659
5.14868,730,46448
5.14868,740,15469
5.14868,750,110697
5.14868,760,203380
5.14868,770,82142
5.14868,780,64453
5.14868,790,58933
5.14868,800,36135
5.14868,810,64304
5.14868,820,57535
5.14868,830,43997
5.14868,840,50109
