#      mass       lower       upper
2.4879300e+00 8.6974900e-14 7.9248290e-10
2.5001200e+00 8.6974900e-14 7.9248290e-10
2.5123700e+00 8.6974900e-14 7.9248290e-10
2.5246800e+00 8.6974900e-14 7.9248290e-10
2.5370600e+00 8.6974900e-14 7.9248290e-10
2.5494900e+00 8.6974900e-14 7.9248290e-10
2.5619800e+00 8.6974900e-14 7.9248290e-10
2.5745400e+00 8.6974900e-14 7.9248290e-10
2.5871500e+00 8.6974900e-14 7.9248290e-10
2.5998300e+00 8.6974900e-14 7.9248290e-10
2.6125700e+00 8.6974900e-14 7.9248290e-10
2.6253700e+00 8.6974900e-14 7.9248290e-10
2.6382400e+00 8.6974900e-14 7.9248290e-10
2.6511700e+00 8.6974900e-14 6.5793322e-10
2.6641600e+00 8.6974900e-14 6.5793322e-10
2.6772100e+00 8.6974900e-14 6.5793322e-10
2.6903300e+00 8.6974900e-14 6.5793322e-10
2.7035200e+00 8.6974900e-14 6.5793322e-10
2.7167600e+00 8.6974900e-14 6.5793322e-10
2.7300800e+00 8.6974900e-14 6.5793322e-10
2.7434600e+00 8.6974900e-14 6.5793322e-10
2.7569000e+00 8.6974900e-14 6.5793322e-10
2.7704100e+00 8.6974900e-14 6.5793322e-10
2.7839900e+00 8.6974900e-14 6.5793322e-10
2.7976300e+00 8.6974900e-14 6.5793322e-10
2.8113400e+00 8.6974900e-14 6.5793322e-10
2.8251100e+00 8.6974900e-14 6.5793322e-10
2.8389600e+00 8.6974900e-14 6.5793322e-10
2.8528700e+00 8.6974900e-14 6.5793322e-10
2.8668500e+00 8.6974900e-14 6.5793322e-10
2.8809000e+00 8.6974900e-14 6.5793322e-10
2.8950200e+00 8.6974900e-14 5.4622772e-10
2.9092000e+00 7.2208090e-14 5.4622772e-10
2.9234600e+00 7.2208090e-14 5.4622772e-10
2.9377900e+00 7.2208090e-14 5.4622772e-10
2.9521800e+00 7.2208090e-14 5.4622772e-10
2.9666500e+00 7.2208090e-14 5.4622772e-10
2.9811900e+00 7.2208090e-14 5.4622772e-10
2.9958000e+00 7.2208090e-14 5.4622772e-10
3.0104800e+00 7.2208090e-14 5.4622772e-10
3.0252300e+00 7.2208090e-14 5.4622772e-10
3.0400500e+00 7.2208090e-14 5.4622772e-10
3.0549500e+00 7.2208090e-14 5.4622772e-10
3.0699200e+00 7.2208090e-14 5.4622772e-10
3.0849600e+00 7.2208090e-14 5.4622772e-10
3.1000800e+00 7.2208090e-14 5.4622772e-10
3.1152700e+00 7.2208090e-14 5.4622772e-10
3.1305400e+00 7.2208090e-14 5.4622772e-10
3.1458800e+00 7.2208090e-14 5.4622772e-10
3.1613000e+00 7.2208090e-14 4.5348785e-10
3.1767900e+00 7.2208090e-14 4.5348785e-10
3.1923600e+00 7.2208090e-14 4.5348785e-10
3.2080000e+00 7.2208090e-14 4.5348785e-10
3.2237200e+00 7.2208090e-14 4.5348785e-10
3.2395200e+00 7.2208090e-14 4.5348785e-10
3.2553900e+00 7.2208090e-14 4.5348785e-10
3.2713400e+00 7.2208090e-14 4.5348785e-10
3.2873800e+00 7.2208090e-14 4.5348785e-10
3.3034800e+00 7.2208090e-14 4.5348785e-10
3.3196700e+00 7.2208090e-14 4.5348785e-10
3.3359400e+00 7.2208090e-14 4.5348785e-10
3.3522900e+00 7.2208090e-14 4.5348785e-10
3.3687200e+00 7.2208090e-14 4.5348785e-10
3.3852200e+00 7.2208090e-14 4.5348785e-10
3.4018100e+00 7.2208090e-14 4.5348785e-10
3.4184800e+00 7.2208090e-14 4.5348785e-10
3.4352300e+00 7.2208090e-14 4.5348785e-10
3.4520700e+00 7.2208090e-14 3.7649358e-10
3.4689800e+00 7.2208090e-14 3.7649358e-10
3.4859800e+00 7.2208090e-14 3.7649358e-10
3.5030700e+00 5.9948425e-14 3.7649358e-10
3.5202300e+00 5.9948425e-14 3.7649358e-10
