m_B,deltaE,nFlux
9.27536,980,0
9.27536,990,0
9.96314,0,2
9.96314,10,9
9.96314,20,13
9.96314,30,43
9.96314,40,68
9.96314,50,118
9.96314,60,158
9.96314,70,308
9.96314,80,445
9.96314,90,662
9.96314,100,898
9.96314,110,1272
9.96314,120,1602
9.96314,130,1604
9.96314,140,2488
9.96314,150,2622
9.96314,160,3042
9.96314,170,3680
9.96314,180,4090
9.96314,190,5063
9.96314,200,5793
9.96314,210,7979
9.96314,220,9344
9.96314,230,11658
9.96314,240,17216
9.96314,250,20197
9.96314,260,25776
9.96314,270,30707
9.96314,280,37702
9.96314,290,41185
9.96314,300,45089
9.96314,310,46524
9.96314,320,51041
9.96314,330,56586
9.96314,340,72251
9.96314,350,76542
9.96314,360,69184
9.96314,370,75451
9.96314,380,79095
9.96314,390,66271
9.96314,400,71129
9.96314,410,81320
9.96314,420,24720
9.96314,430,0
9.96314,440,0
9.96314,450,0
9.96314,460,0
9.96314,470,0
9.96314,480,0
9.96314,490,0
9.96314,500,0
9.96314,510,0
9.96314,520,0
9.96314,530,0
9.96314,540,0
9.96314,550,0
9.96314,560,0
9.96314,570,0
9.96314,580,0
9.96314,590,0
9.96314,600,0
9.96314,610,0
9.96314,620,0
9.96314,630,0
9.96314,640,0
9.96314,650,0
9.96314,660,0
9.96314,670,0
9.96314,680,0
9.96314,690,0
9.96314,700,0
9.96314,710,0
9.96314,720,0
9.96314,730,0
9.96314,740,0
9.96314,750,0
9.96314,760,0
9.96314,770,0
9.96314,780,0
9.96314,790,0
9.96314,800,0
9.96314,810,0
9.96314,820,0
9.96314,830,0
9.96314,840,0
9.96314,850,0
9.96314,860,0
9.96314,870,0
9.96314,880,0
9.96314,890,0
9.96314,900,0
9.96314,910,0
9.96314,920,0
9.96314,930,0
9.96314,940,0
9.96314,950,0
9.96314,960,0
9.96314,970,0
9.96314,980,0
9.96314,990,0
10.6509,0,1
10.6509,10,1
10.6509,20,21
10.6509,30,43
10.6509,40,63
10.6509,50,138
10.6509,60,142
10.6509,70,301
10.6509,80,460
10.6509,90,628
10.6509,100,977
10.6509,110,1350
10.6509,120,1641
10.6509,130,1685
10.6509,140,2459
10.6509,150,2646
10.6509,160,3012
10.6509,170,3819
10.6509,180,4288
10.6509,190,5323
10.6509,200,5975
10.6509,210,8276
10.6509,220,9938
10.6509,230,12323
10.6509,240,18711
10.6509,250,22232
10.6509,260,28458
10.6509,270,33671
10.6509,280,41417
10.6509,290,44909
10.6509,300,48921
10.6509,310,50099
10.6509,320,56425
10.6509,330,59990
10.6509,340,81189
10.6509,350,82221
10.6509,360,73368
10.6509,370,80531
10.6509,380,82212
10.6509,390,51477
10.6509,400,0
10.6509,410,0
10.6509,420,0
10.6509,430,0
10.6509,440,0
10.6509,450,0
10.6509,460,0
10.6509,470,0
10.6509,480,0
10.6509,490,0
10.6509,500,0
10.6509,510,0
10.6509,520,0
